subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;iv8;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns
39;18;f;r;c;n;n;1;series1c;0;1;10;0;6;1;6;nc;0;0;1;0;1;0.771474152105;CYTV;CYTV;1;1d_6u_nc_s_f.png;1d_6u_nc_d_f.png;260.695501079;1
39;18;f;r;c;n;n;1;series1c;1;1;10;0;3;3;6;nc;0;0;1;0;1;1.0991115206;HGSF;-99;-99;3d_6u_nc_s_c.png;3d_6u_nc_d_c.png;270.170918083;1
39;18;f;r;c;n;n;1;series1c;2;0;10;0;3;3;6;nc;0;0;9;0;1;0.948160164975;KLVH;-99;-99;3d_6u_nc_s_c.png;3d_6u_nc_s_c.png;277.883271591;1
39;18;f;r;c;n;n;1;series1c;3;1;-10;0;8;1;8;nc;0;0;1;0;1;1.02592392747;KCSX;KCSX;1;1d_8u_nc_s_h.png;1d_8u_nc_d_h.png;290.333435133;1
39;18;f;r;c;n;n;1;series1c;4;1;-10;0;1;1;8;nc;0;0;9;0;0;1.1057180143;CGQM;-99;-99;1d_8u_nc_s_a.png;1d_8u_nc_d_a.png;298.572260169;1
39;18;f;r;c;n;n;1;series1c;5;1;10;0;4;1;8;nc;0;0;1;0;1;1.17781874712;GNXZ;-99;-99;1d_8u_nc_s_d.png;1d_8u_nc_d_d.png;307.847074139;1
39;18;f;r;c;n;n;1;series1c;6;1;-10;0;2;1;4;nc;0;0;1;0;1;0.87788252157;JFNQ;JFNQ;1;1d_4u_nc_s_b.png;1d_4u_nc_d_b.png;320.506115674;1
39;18;f;r;c;n;n;1;series1c;7;0;10;0;8;2;4;nc;0;0;1;0;0;0.800047221317;KVSR;-99;-99;2d_4u_nc_s_h.png;2d_4u_nc_s_h.png;327.04028601;1
39;18;f;r;c;n;n;1;series1c;8;0;-10;0;3;3;4;nc;0;0;9;0;1;1.61038336526;WZVC;WVZC;0;3d_4u_nc_s_c.png;3d_4u_nc_s_c.png;339.899907803;1
39;18;f;r;c;n;n;1;series1c;9;0;10;0;6;1;4;nc;0;0;9;0;1;0.756792235174;RXHP;-99;-99;1d_4u_nc_s_f.png;1d_4u_nc_s_f.png;348.297354451;1
39;18;f;r;c;n;n;1;series1c;10;1;-10;0;1;3;8;nc;0;0;1;0;1;1.11545741162;NTMV;-99;-99;3d_8u_nc_s_a.png;3d_8u_nc_d_a.png;356.202070039;1
39;18;f;r;c;n;n;1;series1c;11;0;10;0;3;1;4;nc;0;0;9;0;1;1.19035549443;TWHG;-99;-99;1d_4u_nc_s_c.png;1d_4u_nc_s_c.png;363.72237649;1
39;18;f;r;c;n;n;1;series1c;12;1;-10;0;8;2;8;nc;0;0;1;0;1;1.04495585192;WZSG;-99;-99;2d_8u_nc_s_h.png;2d_8u_nc_d_h.png;371.125479431;1
39;18;f;r;c;n;n;1;series1c;13;1;10;0;4;3;4;nc;0;0;-1;1;-99999;-1;ZQWL;-99;-99;3d_4u_nc_s_d.png;3d_4u_nc_d_d.png;380.600789931;1
39;18;f;r;c;n;n;1;series1c;14;0;-10;0;2;1;6;nc;0;0;1;0;0;1.28001633497;LNPB;-99;-99;1d_6u_nc_s_b.png;1d_6u_nc_s_b.png;387.627979723;1
39;18;f;r;c;n;n;1;series1c;15;1;-10;0;3;2;6;nc;0;0;1;0;1;1.09574186875;YPJR;-99;-99;2d_6u_nc_s_c.png;2d_6u_nc_d_c.png;394.964464994;1
