subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;iv8;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns;setOrder;setName
221;19;f;l;n;n;n;1;series1c;0;1;0;0;8;0;4;nc;0;0;1;0;1;0.545790345408;WZLG;-99;-99;4u_s_9.png;4u_d_9.png;170.195198231;1;1;simple
221;19;f;l;n;n;n;1;series1c;1;0;0;0;14;0;4;nc;0;0;9;0;1;0.768223594408;JFKG;JFKG;1;4u_s_15.png;4u_s_15.png;181.773145626;1;1;simple
221;19;f;l;n;n;n;1;series1c;2;1;0;0;15;0;8;nc;0;0;9;0;0;0.5471704714;YLRK;-99;-99;8u_s_16.png;8u_d_16.png;188.929861325;1;1;simple
221;19;f;l;n;n;n;1;series1c;3;0;0;0;20;0;4;nc;0;0;9;0;1;0.577884532977;NDWH;-99;-99;4u_s_21.png;4u_s_21.png;195.836974463;1;1;simple
221;19;f;l;n;n;n;1;series1c;4;0;0;0;4;0;4;nc;0;0;9;0;1;0.586735600606;TSLF;-99;-99;4u_s_5.png;4u_s_5.png;202.476570996;1;1;simple
221;19;f;l;n;n;n;1;series1c;5;0;0;0;16;0;4;nc;0;0;9;0;1;0.567939775065;DPVW;DPVW;1;4u_s_17.png;4u_s_17.png;213.00305579;1;1;simple
221;19;f;l;n;n;n;1;series1c;6;0;0;0;22;0;6;nc;0;0;9;0;1;0.697782554198;NKSG;-99;-99;6u_s_23.png;6u_s_23.png;219.809692513;1;1;simple
221;19;f;l;n;n;n;1;series1c;7;1;0;0;5;0;8;nc;0;0;9;0;0;0.740633305162;QFRC;-99;-99;8u_s_6.png;8u_d_6.png;227.016620961;1;1;simple
221;19;f;l;n;n;n;1;series1c;8;1;0;0;9;0;4;nc;0;0;1;0;1;0.826581989415;DRFB;DRFB;1;4u_s_10.png;4u_d_10.png;237.627200998;1;1;simple
221;19;f;l;n;n;n;1;series1c;9;0;0;0;19;0;8;nc;0;0;9;0;1;0.753753888421;RXKF;-99;-99;8u_s_20.png;8u_s_20.png;244.700698966;1;1;simple
221;19;f;l;n;n;n;1;series1c;10;0;0;0;12;0;8;nc;0;0;9;0;1;0.933723515831;JQFR;-99;-99;8u_s_13.png;8u_s_13.png;251.624076372;1;1;simple
221;19;f;l;n;n;n;1;series1c;11;1;0;0;8;0;8;nc;0;0;1;0;1;0.677078672219;FPZY;FPZY;1;8u_s_9.png;8u_d_9.png;262.401174075;1;1;simple
221;19;f;l;n;n;n;1;series1c;12;1;0;0;7;0;6;nc;0;0;9;0;0;0.71943761874;NPJM;NPJM;1;6u_s_8.png;6u_d_8.png;273.077840871;1;1;simple
221;19;f;l;n;n;n;1;series1c;13;0;0;0;23;0;4;nc;0;0;9;0;1;0.497129525524;TZLN;-99;-99;4u_s_24.png;4u_s_24.png;280.21840864;1;1;simple
221;19;f;l;n;n;n;1;series1c;14;0;0;0;18;0;6;nc;0;0;9;0;1;0.811137776356;LKNY;-99;-99;6u_s_19.png;6u_s_19.png;287.325252921;1;1;simple
221;19;f;l;n;n;n;1;series1c;15;0;0;0;8;0;4;nc;0;0;9;0;1;0.700291925576;FYWK;-99;-99;4u_s_9.png;4u_s_9.png;294.231963002;1;1;simple
221;19;f;l;n;n;n;1;series1c;16;0;0;0;7;0;8;nc;0;0;9;0;1;0.657936392818;LYQD;-99;-99;8u_s_8.png;8u_s_8.png;300.68799737;1;1;simple
221;19;f;l;n;n;n;1;series1c;17;0;0;0;13;0;6;nc;0;0;9;0;1;0.548993478063;CZVM;-99;-99;6u_s_14.png;6u_s_14.png;307.161141944;1;1;simple
221;19;f;l;n;n;n;1;series1c;18;1;0;0;11;0;6;nc;0;0;1;0;1;0.46546371188;HZNM;-99;-99;6u_s_12.png;6u_d_12.png;313.417131995;1;1;simple
221;19;f;l;n;n;n;1;series1c;19;1;0;0;0;0;8;nc;0;0;1;0;1;0.550101106055;GHDF;-99;-99;8u_s_1.png;8u_d_1.png;319.840077471;1;1;simple
221;19;f;l;n;n;n;1;series1c;20;1;0;0;5;0;6;nc;0;0;1;0;1;0.557103566825;MTDF;-99;-99;6u_s_6.png;6u_d_6.png;326.312987947;1;1;simple
221;19;f;l;n;n;n;1;series1c;21;0;0;0;14;0;6;nc;0;0;9;0;1;0.549591096584;CRDK;-99;-99;6u_s_15.png;6u_s_15.png;332.752557514;1;1;simple
221;19;f;l;n;n;n;1;series1c;22;0;0;0;0;0;8;nc;0;0;9;0;1;0.746521027293;WMNV;WMNV;1;8u_s_1.png;8u_s_1.png;342.678819475;1;1;simple
221;19;f;l;n;n;n;1;series1c;23;0;0;0;16;0;6;nc;0;0;1;0;0;1.03142944025;JCDL;-99;-99;6u_s_17.png;6u_s_17.png;349.802415846;1;1;simple
221;19;f;l;n;n;n;1;series1c;0;0;0;0;18;0;6;nc;0;0;9;0;1;0.512555818539;LWVS;-99;-99;6u_s_19.png;6u_s_19.png;436.619854074;1;1;cubes
221;19;f;l;n;n;n;1;series1c;1;1;0;0;19;0;4;nc;0;0;1;0;1;0.608651785646;QCMP;-99;-99;4u_s_20.png;4u_d_20.png;443.359603894;1;1;cubes
221;19;f;l;n;n;n;1;series1c;2;0;0;0;22;0;4;nc;0;0;9;0;1;0.532331841066;VYDR;VYDR;1;4u_s_23.png;4u_s_23.png;453.051989108;1;1;cubes
221;19;f;l;n;n;n;1;series1c;3;0;0;0;23;0;8;nc;0;0;9;0;1;0.951217153575;MZYT;-99;-99;8u_s_24.png;8u_s_24.png;459.975392399;1;1;cubes
221;19;f;l;n;n;n;1;series1c;4;0;0;0;8;0;4;nc;0;0;9;0;1;0.444972026162;TRWV;-99;-99;4u_s_9.png;4u_s_9.png;466.34829693;1;1;cubes
221;19;f;l;n;n;n;1;series1c;5;1;0;0;3;0;4;nc;0;0;1;0;1;0.664804311935;MDSZ;-99;-99;4u_s_4.png;4u_d_4.png;472.938032285;1;1;cubes
221;19;f;l;n;n;n;1;series1c;6;0;0;0;11;0;4;nc;0;0;9;0;1;0.617734960746;GDSF;-99;-99;4u_s_12.png;4u_s_12.png;479.511022662;1;1;cubes
221;19;f;l;n;n;n;1;series1c;7;0;0;0;16;0;6;nc;0;0;1;0;0;0.496953169815;XJHR;-99;-99;6u_s_17.png;6u_s_17.png;485.850679582;1;1;cubes
221;19;f;l;n;n;n;1;series1c;8;0;0;0;5;0;6;nc;0;0;9;0;1;0.885824154597;QHYW;-99;-99;6u_s_6.png;6u_s_6.png;492.773869254;1;1;cubes
221;19;f;l;n;n;n;1;series1c;9;0;0;0;23;0;6;nc;0;0;9;0;1;0.774566427805;GSND;-99;-99;6u_s_24.png;6u_s_24.png;499.480576547;1;1;cubes
221;19;f;l;n;n;n;1;series1c;10;0;0;0;7;0;6;nc;0;0;9;0;1;0.7236843789;SXRZ;-99;-99;6u_s_8.png;6u_s_8.png;505.95348816;1;1;cubes
221;19;f;l;n;n;n;1;series1c;11;0;0;0;19;0;8;nc;0;0;9;0;1;0.523190355394;ZQTS;-99;-99;8u_s_20.png;8u_s_20.png;512.409741551;1;1;cubes
221;19;f;l;n;n;n;1;series1c;12;0;0;0;1;0;8;nc;0;0;9;0;1;0.420319198165;SLGV;-99;-99;8u_s_2.png;8u_s_2.png;523.620594484;1;1;cubes
221;19;f;l;n;n;n;1;series1c;13;0;0;0;12;0;6;nc;0;0;1;0;0;0.774353378918;CZVT;-99;-99;6u_s_13.png;6u_s_13.png;530.176976415;1;1;cubes
221;19;f;l;n;n;n;1;series1c;14;0;0;0;14;0;8;nc;0;0;9;0;1;0.480571995489;CGXT;-99;-99;8u_s_15.png;8u_s_15.png;536.666294518;1;1;cubes
221;19;f;l;n;n;n;1;series1c;15;0;0;0;13;0;4;nc;0;0;9;0;1;0.595919184387;TCPM;-99;-99;4u_s_14.png;4u_s_14.png;543.15612576;1;1;cubes
221;19;f;l;n;n;n;1;series1c;16;0;0;0;13;0;8;nc;0;0;9;0;1;0.659327327739;VPTR;-99;-99;8u_s_14.png;8u_s_14.png;551.04679088;1;1;cubes
221;19;f;l;n;n;n;1;series1c;17;0;0;0;14;0;6;nc;0;0;9;0;1;0.55310967844;YSFW;-99;-99;6u_s_15.png;6u_s_15.png;557.453122222;1;1;cubes
221;19;f;l;n;n;n;1;series1c;18;0;0;0;18;0;8;nc;0;0;1;0;0;0.766251253895;TVDC;TVDC;1;8u_s_19.png;8u_s_19.png;567.413177075;1;1;cubes
221;19;f;l;n;n;n;1;series1c;19;1;0;0;12;0;6;nc;0;0;1;0;1;0.817851810716;MDFT;-99;-99;6u_s_13.png;6u_d_13.png;574.703156569;1;1;cubes
221;19;f;l;n;n;n;1;series1c;20;1;0;0;4;0;6;nc;0;0;1;0;1;1.0127050099;HCFR;-99;-99;6u_s_5.png;6u_d_5.png;581.660103578;1;1;cubes
221;19;f;l;n;n;n;1;series1c;21;0;0;0;17;0;8;nc;0;0;9;0;1;1.01003976259;KPTG;-99;-99;8u_s_18.png;8u_s_18.png;588.566561356;1;1;cubes
221;19;f;l;n;n;n;1;series1c;22;1;0;0;17;0;6;nc;0;0;1;0;1;0.752012517769;QRCB;-99;-99;6u_s_18.png;6u_d_18.png;595.206587115;1;1;cubes
221;19;f;l;n;n;n;1;series1c;23;1;0;0;18;0;8;nc;0;0;9;0;0;0.968716195319;VRTZ;-99;-99;8u_s_19.png;8u_d_19.png;602.063185139;1;1;cubes
221;19;f;l;n;n;n;1;series1c;0;1;0;0;6;0;4;nc;0;0;1;0;1;0.787948416546;SYMB;-99;-99;4u_s_7.png;4u_d_7.png;612.540026926;1;1;simple
221;19;f;l;n;n;n;1;series1c;1;0;0;0;1;0;8;nc;0;0;9;0;1;0.881480114069;ZKCF;-99;-99;8u_s_2.png;8u_s_2.png;619.329580748;1;1;simple
221;19;f;l;n;n;n;1;series1c;2;0;0;0;7;0;4;nc;0;0;9;0;1;0.597824680153;QXFD;-99;-99;4u_s_8.png;4u_s_8.png;625.78613309;1;1;simple
221;19;f;l;n;n;n;1;series1c;3;0;0;0;13;0;4;nc;0;0;9;0;1;0.453414347023;VDTX;-99;-99;4u_s_14.png;4u_s_14.png;632.108943769;1;1;simple
221;19;f;l;n;n;n;1;series1c;4;0;0;0;12;0;6;nc;0;0;9;0;1;0.542716919445;QNJL;-99;-99;6u_s_13.png;6u_s_13.png;638.415028526;1;1;simple
221;19;f;l;n;n;n;1;series1c;5;1;0;0;12;0;8;nc;0;0;1;0;1;0.787261482328;XQKT;-99;-99;8u_s_13.png;8u_d_13.png;645.004726334;1;1;simple
221;19;f;l;n;n;n;1;series1c;6;0;0;0;20;0;8;nc;0;0;9;0;1;0.700190663338;THRG;-99;-99;8u_s_21.png;8u_s_21.png;651.544206841;1;1;simple
221;19;f;l;n;n;n;1;series1c;7;0;0;0;5;0;4;nc;0;0;9;0;1;0.643091505393;SPMB;SPMB;1;4u_s_6.png;4u_s_6.png;661.42064887;1;1;simple
221;19;f;l;n;n;n;1;series1c;8;0;0;0;2;0;6;nc;0;0;9;0;1;0.454567201901;SLNC;-99;-99;6u_s_3.png;6u_s_3.png;668.827589208;1;1;simple
221;19;f;l;n;n;n;1;series1c;9;0;0;0;20;0;6;nc;0;0;9;0;1;0.487953337375;SXMF;-99;-99;6u_s_21.png;6u_s_21.png;675.083533464;1;1;simple
221;19;f;l;n;n;n;1;series1c;10;0;0;0;10;0;8;nc;0;0;9;0;1;0.482576478273;XPWM;-99;-99;8u_s_11.png;8u_s_11.png;681.273190711;1;1;simple
221;19;f;l;n;n;n;1;series1c;11;0;0;0;21;0;4;nc;0;0;9;0;1;0.405734577216;MPSW;-99;-99;4u_s_22.png;4u_s_22.png;687.562603876;1;1;simple
221;19;f;l;n;n;n;1;series1c;12;0;0;0;0;0;6;nc;0;0;9;0;1;0.523203155492;NGQL;NGQL;1;6u_s_1.png;6u_s_1.png;697.9728634;1;1;simple
221;19;f;l;n;n;n;1;series1c;13;1;0;0;9;0;6;nc;0;0;9;0;0;0.477657290176;JPNH;-99;-99;6u_s_10.png;6u_d_10.png;705.029195127;1;1;simple
221;19;f;l;n;n;n;1;series1c;14;1;0;0;14;0;8;nc;0;0;1;0;1;0.776306376792;ZRPF;ZRPF;1;8u_s_15.png;8u_d_15.png;716.173655522;1;1;simple
221;19;f;l;n;n;n;1;series1c;15;0;0;0;5;0;8;nc;0;0;1;0;0;1.30465371534;PXZR;-99;-99;8u_s_6.png;8u_s_6.png;723.380610709;1;1;simple
221;19;f;l;n;n;n;1;series1c;16;1;0;0;2;0;8;nc;0;0;9;0;0;1.07163969008;QZBG;-99;-99;8u_s_3.png;8u_d_3.png;730.404083375;1;1;simple
221;19;f;l;n;n;n;1;series1c;17;1;0;0;7;0;8;nc;0;0;1;0;1;0.77687640395;GFWL;-99;-99;8u_s_8.png;8u_d_8.png;737.110185654;1;1;simple
221;19;f;l;n;n;n;1;series1c;18;1;0;0;1;0;8;nc;0;0;1;0;1;0.784465674777;NDVC;-99;-99;8u_s_2.png;8u_d_2.png;743.783692839;1;1;simple
221;19;f;l;n;n;n;1;series1c;19;1;0;0;19;0;4;nc;0;0;9;0;0;0.898212008644;THBF;-99;-99;4u_s_20.png;4u_d_20.png;750.48995782;1;1;simple
221;19;f;l;n;n;n;1;series1c;20;0;0;0;15;0;6;nc;0;0;1;0;0;0.695894125383;BSFT;-99;-99;6u_s_16.png;6u_s_16.png;757.379946815;1;1;simple
221;19;f;l;n;n;n;1;series1c;21;1;0;0;17;0;8;nc;0;0;1;0;1;0.569980097469;PZKV;-99;-99;8u_s_18.png;8u_d_18.png;764.053291012;1;1;simple
221;19;f;l;n;n;n;1;series1c;22;0;0;0;13;0;8;nc;0;0;9;0;1;0.683857276104;LVQZ;-99;-99;8u_s_14.png;8u_s_14.png;770.57627998;1;1;simple
221;19;f;l;n;n;n;1;series1c;23;1;0;0;3;0;6;nc;0;0;9;0;0;1.28949110303;TPRM;-99;-99;6u_s_4.png;6u_d_4.png;777.683156404;1;1;simple
