subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;border;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns;setOrder;setName
106;18;m;r;c;n;n;1;series1c;0;0;0;0;5;0;6;nc;1;0;9;0;1;1.2790158;PJCF;-99;-99;6u_s_6_b.png;6u_s_6_b.png;82.4440889;1;2;3D
106;18;m;r;c;n;n;1;series1c;1;0;0;0;15;0;6;nc;1;0;9;0;1;1.3951574;WXYZ;-99;-99;6u_s_16_b.png;6u_s_16_b.png;91.2523457;1;2;3D
106;18;m;r;c;n;n;1;series1c;2;1;0;0;5;0;6;nc;1;0;1;0;1;1.413486;YSVL;-99;-99;6u_s_6_b.png;6u_d_6_b.png;99.2268199;1;2;3D
106;18;m;r;c;n;n;1;series1c;3;1;0;0;1;0;6;nc;1;0;9;0;0;1.2939017;JZRM;-99;-99;6u_s_2_b.png;6u_d_2_b.png;106.9175947;1;2;3D
106;18;m;r;c;n;n;1;series1c;4;0;0;0;4;0;6;nc;0;0;9;0;1;2.2017423;VSDY;VSDY;1;6u_s_5.png;6u_s_5.png;119.8136726;1;2;3D
106;18;m;r;c;n;n;1;series1c;5;1;0;0;18;0;6;nc;1;0;9;0;0;1.2692323;DTGH;-99;-99;6u_s_19_b.png;6u_d_19_b.png;127.4377498;1;2;3D
106;18;m;r;c;n;n;1;series1c;6;0;0;0;14;0;6;nc;0;0;9;0;1;1.1907454;DSTZ;-99;-99;6u_s_15.png;6u_s_15.png;134.7448475;1;2;3D
106;18;m;r;c;n;n;1;series1c;7;1;0;0;7;0;6;nc;0;0;1;0;1;1.2511087;TMYX;-99;-99;6u_s_8.png;6u_d_8.png;142.1351139;1;2;3D
106;18;m;r;c;n;n;1;series1c;8;0;0;0;19;0;6;nc;0;0;9;0;1;1.2112251;CGQN;-99;-99;6u_s_20.png;6u_s_20.png;149.5089317;1;2;3D
106;18;m;r;c;n;n;1;series1c;9;0;0;0;3;0;6;nc;0;0;1;0;0;1.4475222;WGDX;-99;-99;6u_s_4.png;6u_s_4.png;157.06611;1;2;3D
106;18;m;r;c;n;n;1;series1c;10;1;0;0;3;0;6;nc;1;0;1;0;1;1.2952804;RKFC;-99;-99;6u_s_4_b.png;6u_d_4_b.png;164.3568927;1;2;3D
106;18;m;r;c;n;n;1;series1c;11;1;0;0;14;0;6;nc;1;0;9;0;0;1.2797369;FMKL;-99;-99;6u_s_15_b.png;6u_d_15_b.png;171.7470897;1;2;3D
106;18;m;r;c;n;n;1;series1c;12;1;0;0;13;0;6;nc;0;0;1;0;1;1.619866;NRKY;-99;-99;6u_s_14.png;6u_d_14.png;179.4215076;1;2;3D
106;18;m;r;c;n;n;1;series1c;13;1;0;0;4;0;6;nc;0;0;9;0;0;1.2225343;TGYK;-99;-99;6u_s_5.png;6u_d_5.png;186.7786369;1;2;3D
106;18;m;r;c;n;n;1;series1c;14;0;0;0;21;0;6;nc;1;0;1;0;0;2.7555198;KJXD;-99;-99;6u_s_22_b.png;6u_s_22_b.png;195.6203241;1;2;3D
106;18;m;r;c;n;n;1;series1c;15;1;0;0;20;0;6;nc;1;0;9;0;0;0.873547900001;VCMS;-99;-99;6u_s_21_b.png;6u_d_21_b.png;202.5770719;1;2;3D
106;18;m;r;c;n;n;1;series1c;16;1;0;0;2;0;6;nc;1;0;1;0;1;1.3734949;CSBT;-99;-99;6u_s_3_b.png;6u_d_3_b.png;210.0176049;1;2;3D
106;18;m;r;c;n;n;1;series1c;17;0;0;0;9;0;6;nc;1;0;9;0;1;0.8936096;QCVR;-99;-99;6u_s_10_b.png;6u_s_10_b.png;216.9574981;1;2;3D
106;18;m;r;c;n;n;1;series1c;18;0;0;0;6;0;6;nc;1;0;9;0;1;1.3242858;MLGP;-99;-99;6u_s_7_b.png;6u_s_7_b.png;224.2647655;1;2;3D
106;18;m;r;c;n;n;1;series1c;19;1;0;0;21;0;6;nc;0;0;1;0;1;0.747932099999;WZRX;-99;-99;6u_s_22.png;6u_d_22.png;230.921125;1;2;3D
106;18;m;r;c;n;n;1;series1c;20;1;0;0;11;0;6;nc;0;0;1;0;1;0.8402319;PRLQ;-99;-99;6u_s_12.png;6u_d_12.png;237.5610334;1;2;3D
106;18;m;r;c;n;n;1;series1c;21;0;0;0;20;0;6;nc;0;0;9;0;1;1.032698;SCWP;-99;-99;6u_s_21.png;6u_s_21.png;244.400987;1;2;3D
106;18;m;r;c;n;n;1;series1c;22;1;0;0;10;0;6;nc;1;0;1;0;1;1.1851917;LCXT;LCXT;1;6u_s_11_b.png;6u_d_11_b.png;255.9291664;1;2;3D
