instr_Loop.thisRepN,instr_Loop.thisTrialN,instr_Loop.thisN,instr_Loop.thisIndex,instr_Loop.ran,instructionImage,time,age,sex (female/male),order,date,expName,psychopyVersion,OS,frameRate,struc_judge_respond.keys,struc_judge_respond.corr,struc_judge_respond.rt,dual_respond.keys,dual_respond.corr,dual_respond.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim1,stim2,isAnyChange,corrAns,selectBlock.thisRepN,selectBlock.thisTrialN,selectBlock.thisN,selectBlock.thisIndex,selectBlock.ran,condsFile,condsImage,remaining
0,0,0,0,1,Instructions/instr_1.png,5,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Instructions/instr_2.png,3,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,Instructions/instr_3.png,5,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,Instructions/instr_4.png,1,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,Instructions/instr_5.png,1,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,5,5,5,1,Instructions/instr_6.png,1,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,6,6,6,1,Instructions/instr_7.png,1,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,7,7,7,1,Instructions/instr_8.png,3,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,8,8,8,1,Instructions/instr_9.png,3,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,9,9,9,1,Instructions/instr_10.png,3,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,10,10,10,1,Instructions/instr_11.png,3,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,11,11,11,1,Instructions/instr_12.png,3,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,12,12,12,1,Instructions/instr_13.png,3,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,13,13,13,1,Instructions/instr_14.png,3,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,14,14,14,1,Instructions/instr_15.png,3,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,9,0,1.127965,9,1,4.88689,0,0,0,3,1,Stimuli/practiceStimuliCube/practice4_s.png,Stimuli/practiceStimuliCube/practice4_d.png,1,1,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,1,1,1.016085,9,1,1.969515,0,1,1,1,1,Stimuli/practiceStimuliCube/practice2_s.png,Stimuli/practiceStimuliCube/practice2_d.png,1,1,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,1,0,1.092745,9,1,1.704145,0,2,2,2,1,Stimuli/practiceStimuliCube/practice3_s.png,Stimuli/practiceStimuliCube/practice3_s.png,0,9,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,9,1,0.45419,1,0,1.252055,0,3,3,0,1,Stimuli/practiceStimuliCube/practice1_s.png,Stimuli/practiceStimuliCube/practice1_s.png,0,9,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,0,0,0,0,1,Stimuli/practiceListCubes.xlsx,Instructions/instr_20_practice.png,Practice trials completed
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,1,1,0.511725,1,1,1.30184,0,0,0,5,1,Stimuli/testStimuliCube/6u_s_3.png,Stimuli/testStimuliCube/6u_d_3.png,1,1,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,9,0,0.617315,9,1,1.119925,0,1,1,19,1,Stimuli/testStimuliCube/6u_s_4_s.png,Stimuli/testStimuliCube/6u_d_4_s.png,1,1,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,1,1,0.8921,1,0,1.25632,0,2,2,7,1,Stimuli/testStimuliCube/6u_s_4.png,Stimuli/testStimuliCube/6u_d_4.png,1,1,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,9,1,0.965095,9,1,1.3537,0,3,3,14,1,Stimuli/testStimuliCube/6u_s_2_s.png,Stimuli/testStimuliCube/6u_s_2_s.png,0,9,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,1,1,0.77734,9,1,1.871565,0,4,4,15,1,Stimuli/testStimuliCube/6u_s_2_s.png,Stimuli/testStimuliCube/6u_d_2_s.png,1,1,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,1,0,0.724035,9,1,1.05575,0,5,5,6,1,Stimuli/testStimuliCube/6u_s_4.png,Stimuli/testStimuliCube/6u_s_4.png,0,9,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,9,1,0.58916,1,1,2.505705,0,6,6,10,1,Stimuli/testStimuliCube/6u_s_6.png,Stimuli/testStimuliCube/6u_s_6.png,0,9,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,9,1,0.8718,1,0,0.701195,0,7,7,16,1,Stimuli/testStimuliCube/6u_s_3_s.png,Stimuli/testStimuliCube/6u_s_3_s.png,0,9,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,1,1,0.481565,9,1,0.785475,0,8,8,17,1,Stimuli/testStimuliCube/6u_s_3_s.png,Stimuli/testStimuliCube/6u_d_3_s.png,1,1,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,1,1,0.08703,9,1,0.951965,0,9,9,13,1,Stimuli/testStimuliCube/6u_s_1_s.png,Stimuli/testStimuliCube/6u_d_1_s.png,1,1,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,1,1,0.888355,1,1,1.52058,0,10,10,23,1,Stimuli/testStimuliCube/6u_s_6_s.png,Stimuli/testStimuliCube/6u_d_6_s.png,1,1,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,9,1,0.8194,1,1,0.768705,0,11,11,20,1,Stimuli/testStimuliCube/6u_s_5_s.png,Stimuli/testStimuliCube/6u_s_5_s.png,0,9,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,1,1,0.798445,1,1,2.46891,0,12,12,21,1,Stimuli/testStimuliCube/6u_s_5_s.png,Stimuli/testStimuliCube/6u_d_5_s.png,1,1,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,9,1,0.9803,1,1,0.76826,0,13,13,12,1,Stimuli/testStimuliCube/6u_s_1_s.png,Stimuli/testStimuliCube/6u_s_1_s.png,0,9,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,9,1,0.670165,1,1,0.58501,0,14,14,8,1,Stimuli/testStimuliCube/6u_s_5.png,Stimuli/testStimuliCube/6u_s_5.png,0,9,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,9,1,0.454965,1,0,0.677555,0,15,15,4,1,Stimuli/testStimuliCube/6u_s_3.png,Stimuli/testStimuliCube/6u_s_3.png,0,9,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,9,1,0.506135,1,1,0.76874,0,16,16,18,1,Stimuli/testStimuliCube/6u_s_4_s.png,Stimuli/testStimuliCube/6u_s_4_s.png,0,9,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,1,1,0.588465,9,1,1.137035,0,17,17,3,1,Stimuli/testStimuliCube/6u_s_2.png,Stimuli/testStimuliCube/6u_d_2.png,1,1,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,9,0,0.49225,9,1,0.935455,0,18,18,9,1,Stimuli/testStimuliCube/6u_s_5.png,Stimuli/testStimuliCube/6u_d_5.png,1,1,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,1,1,0.552925,1,1,0.85184,0,19,19,11,1,Stimuli/testStimuliCube/6u_s_6.png,Stimuli/testStimuliCube/6u_d_6.png,1,1,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,9,1,0.58579,1,1,1.218585,0,20,20,0,1,Stimuli/testStimuliCube/6u_s_1.png,Stimuli/testStimuliCube/6u_s_1.png,0,9,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,9,1,0.68618,1,0,0.872045,0,21,21,2,1,Stimuli/testStimuliCube/6u_s_2.png,Stimuli/testStimuliCube/6u_s_2.png,0,9,,,,,,,,
,,,,,,,20,m,B,2020-04-19_16h29.51.171,Remembering_Displays,2020.1.2,Win32,60,9,1,0.671915,1,1,0.8017,0,22,22,22,1,Stimuli/testStimuliCube/6u_s_6_s.png,Stimuli/testStimuliCube/6u_s_6_s.png,0,9,,,,,,,,
