instr_Loop.thisRepN,instr_Loop.thisTrialN,instr_Loop.thisN,instr_Loop.thisIndex,instr_Loop.ran,instructionImage,time,age,sex (female/male),order,date,expName,psychopyVersion,OS,frameRate,struc_judge_respond.keys,struc_judge_respond.corr,dual_respond.keys,dual_respond.corr,dual_respond.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim1,stim2,isAnyChange,corrAns,struc_judge_respond.rt,selectBlock.thisRepN,selectBlock.thisTrialN,selectBlock.thisN,selectBlock.thisIndex,selectBlock.ran,condsFile,condsImage,remaining
0,0,0,0,1,Instructions/instr_1.png,5,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Instructions/instr_2.png,3,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,Instructions/instr_3.png,5,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,Instructions/instr_4.png,1,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,Instructions/instr_5.png,1,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,5,5,5,1,Instructions/instr_6.png,1,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,6,6,6,1,Instructions/instr_7.png,1,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,7,7,7,1,Instructions/instr_8.png,3,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,8,8,8,1,Instructions/instr_9.png,3,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,9,9,9,1,Instructions/instr_10.png,3,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,10,10,10,1,Instructions/instr_11.png,3,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,11,11,11,1,Instructions/instr_12.png,3,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,12,12,12,1,Instructions/instr_13.png,3,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,13,13,13,1,Instructions/instr_14.png,3,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,14,14,14,1,Instructions/instr_15.png,3,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,,0,9,1,4.10266,0,0,0,0,1,Stimuli/practiceStimuliCube/practice1_s.png,Stimuli/practiceStimuliCube/practice1_s.png,0,9,,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,1,0,1,1,2.75365,0,1,1,2,1,Stimuli/practiceStimuliCube/practice3_s.png,Stimuli/practiceStimuliCube/practice3_s.png,0,9,0.556455,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,9,0,1,1,3.890995,0,2,2,1,1,Stimuli/practiceStimuliCube/practice2_s.png,Stimuli/practiceStimuliCube/practice2_d.png,1,1,1.256055,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,,0,9,0,5.2134,0,3,3,3,1,Stimuli/practiceStimuliCube/practice4_s.png,Stimuli/practiceStimuliCube/practice4_d.png,1,1,,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,0,0,0,0,1,Stimuli/practiceListCubes.xlsx,Instructions/instr_20_practice.png,Practice trials completed
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,,0,9,1,1.896255,0,0,0,1,1,Stimuli/testStimuliCube/6u_s_1.png,Stimuli/testStimuliCube/6u_d_1.png,1,1,,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,1,0,1,0,2.77301,0,1,1,22,1,Stimuli/testStimuliCube/6u_s_6_s.png,Stimuli/testStimuliCube/6u_s_6_s.png,0,9,0.527885,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,1,0,9,0,1.26834,0,2,2,14,1,Stimuli/testStimuliCube/6u_s_2_s.png,Stimuli/testStimuliCube/6u_s_2_s.png,0,9,0.95382,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,9,0,9,1,3.70132,0,3,3,15,1,Stimuli/testStimuliCube/6u_s_2_s.png,Stimuli/testStimuliCube/6u_d_2_s.png,1,1,0.90201,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,1,0,1,1,2.358085,0,4,4,4,1,Stimuli/testStimuliCube/6u_s_3.png,Stimuli/testStimuliCube/6u_s_3.png,0,9,0.966985,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,1,1,9,1,2.80725,0,5,5,13,1,Stimuli/testStimuliCube/6u_s_1_s.png,Stimuli/testStimuliCube/6u_d_1_s.png,1,1,1.10009,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,1,0,1,1,2.35866,0,6,6,10,1,Stimuli/testStimuliCube/6u_s_6.png,Stimuli/testStimuliCube/6u_s_6.png,0,9,1.296975,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,9,1,1,1,3.236455,0,7,7,8,1,Stimuli/testStimuliCube/6u_s_5.png,Stimuli/testStimuliCube/6u_s_5.png,0,9,1.13776,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,,0,9,1,1.39386,0,8,8,18,1,Stimuli/testStimuliCube/6u_s_4_s.png,Stimuli/testStimuliCube/6u_s_4_s.png,0,9,,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,1,1,1,0,1.608005,0,9,9,5,1,Stimuli/testStimuliCube/6u_s_3.png,Stimuli/testStimuliCube/6u_d_3.png,1,1,0.8763,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,9,1,1,1,2.108885,0,10,10,2,1,Stimuli/testStimuliCube/6u_s_2.png,Stimuli/testStimuliCube/6u_s_2.png,0,9,1.00401,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,1,1,1,0,0.986195,0,11,11,17,1,Stimuli/testStimuliCube/6u_s_3_s.png,Stimuli/testStimuliCube/6u_d_3_s.png,1,1,1.03672,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,,0,9,0,5.774285,0,12,12,16,1,Stimuli/testStimuliCube/6u_s_3_s.png,Stimuli/testStimuliCube/6u_s_3_s.png,0,9,,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,1,1,9,1,1.2249,0,13,13,23,1,Stimuli/testStimuliCube/6u_s_6_s.png,Stimuli/testStimuliCube/6u_d_6_s.png,1,1,0.82203,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,9,0,1,0,1.337815,0,14,14,3,1,Stimuli/testStimuliCube/6u_s_2.png,Stimuli/testStimuliCube/6u_d_2.png,1,1,0.780225,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,9,1,9,1,1.56908,0,15,15,0,1,Stimuli/testStimuliCube/6u_s_1.png,Stimuli/testStimuliCube/6u_s_1.png,0,9,1.35876,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,9,0,1,1,2.21604,0,16,16,21,1,Stimuli/testStimuliCube/6u_s_5_s.png,Stimuli/testStimuliCube/6u_d_5_s.png,1,1,0.638895,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,1,1,9,0,1.23514,0,17,17,19,1,Stimuli/testStimuliCube/6u_s_4_s.png,Stimuli/testStimuliCube/6u_d_4_s.png,1,1,0.825595,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,9,1,1,1,2.35815,0,18,18,20,1,Stimuli/testStimuliCube/6u_s_5_s.png,Stimuli/testStimuliCube/6u_s_5_s.png,0,9,1.08352,,,,,,,,
,,,,,,,22,female,B,2020-04-23_17h19.04.184,Remembering_Displays,2020.1.2,Win32,60,9,1,9,1,1.28397,0,19,19,12,1,Stimuli/testStimuliCube/6u_s_1_s.png,Stimuli/testStimuliCube/6u_s_1_s.png,0,9,0.892105,,,,,,,,
