instr_Loop.thisRepN,instr_Loop.thisTrialN,instr_Loop.thisN,instr_Loop.thisIndex,instr_Loop.ran,instructionImage,time,age,sex (female/male),order,date,expName,psychopyVersion,OS,frameRate,struc_judge_respond.keys,struc_judge_respond.corr,dual_respond.keys,dual_respond.corr,dual_respond.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim1,stim2,isAnyChange,corrAns,struc_judge_respond.rt,selectBlock.thisRepN,selectBlock.thisTrialN,selectBlock.thisN,selectBlock.thisIndex,selectBlock.ran,condsFile,condsImage,remaining
0,0,0,0,1,Instructions/instr_1.png,5,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Instructions/instr_2.png,3,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,Instructions/instr_3.png,5,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,Instructions/instr_4.png,1,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,Instructions/instr_5.png,1,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,5,5,5,1,Instructions/instr_6.png,1,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,6,6,6,1,Instructions/instr_7.png,1,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,7,7,7,1,Instructions/instr_8.png,3,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,8,8,8,1,Instructions/instr_9.png,3,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,9,9,9,1,Instructions/instr_10.png,3,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,10,10,10,1,Instructions/instr_11.png,3,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,11,11,11,1,Instructions/instr_12.png,3,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,12,12,12,1,Instructions/instr_13.png,3,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,13,13,13,1,Instructions/instr_14.png,3,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
0,14,14,14,1,Instructions/instr_15.png,3,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,0,9,1,10.603345,0,0,0,0,1,Stimuli/practiceStimuliSquare/practice1_s.png,Stimuli/practiceStimuliSquare/practice1_s.png,0,9,,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,1,1.398805,0,1,1,2,1,Stimuli/practiceStimuliSquare/practice3_s.png,Stimuli/practiceStimuliSquare/practice3_s.png,0,9,1.041115,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,0,9,1,1.803355,0,2,2,3,1,Stimuli/practiceStimuliSquare/practice4_s.png,Stimuli/practiceStimuliSquare/practice4_d.png,1,1,0.968635,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,1.765845,0,3,3,1,1,Stimuli/practiceStimuliSquare/practice2_s.png,Stimuli/practiceStimuliSquare/practice2_d.png,1,1,0.765955,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,0,0,0,0,1,Stimuli/practiceListSquares.xlsx,Instructions/instr_19_practice.png,Practice trials completed
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,0,1.504285,0,0,0,7,1,Stimuli/testStimuliSquare/6u_s_4_2D.png,Stimuli/testStimuliSquare/6u_d_4_2D.png,1,1,1.063665,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,9,1,1.13449,0,1,1,3,1,Stimuli/testStimuliSquare/6u_s_2_2D.png,Stimuli/testStimuliSquare/6u_d_2_2D.png,1,1,1.14552,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1,1,1.43274,0,2,2,16,1,Stimuli/testStimuliSquare/6u_s_3_s_2D.png,Stimuli/testStimuliSquare/6u_s_3_s_2D.png,0,9,1.13972,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,1.334185,0,3,3,17,1,Stimuli/testStimuliSquare/6u_s_3_s_2D.png,Stimuli/testStimuliSquare/6u_d_3_s_2D.png,1,1,1.136175,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,1.18386,0,4,4,5,1,Stimuli/testStimuliSquare/6u_s_3_2D.png,Stimuli/testStimuliSquare/6u_d_3_2D.png,1,1,0.938625,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,1,1.092505,0,5,5,8,1,Stimuli/testStimuliSquare/6u_s_5_2D.png,Stimuli/testStimuliSquare/6u_s_5_2D.png,0,9,0.95542,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,1,1.114305,0,6,6,0,1,Stimuli/testStimuliSquare/6u_s_1_2D.png,Stimuli/testStimuliSquare/6u_s_1_2D.png,0,9,0.875805,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,1.916485,0,7,7,19,1,Stimuli/testStimuliSquare/6u_s_4_s_2D.png,Stimuli/testStimuliSquare/6u_d_4_s_2D.png,1,1,1.23306,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,9,1,1.104375,0,8,8,21,1,Stimuli/testStimuliSquare/6u_s_5_s_2D.png,Stimuli/testStimuliSquare/6u_d_5_s_2D.png,1,1,1.030895,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,1.36826,0,9,9,9,1,Stimuli/testStimuliSquare/6u_s_5_2D.png,Stimuli/testStimuliSquare/6u_d_5_2D.png,1,1,1.03293,,,,,,,,
