instr_Loop.thisRepN,instr_Loop.thisTrialN,instr_Loop.thisN,instr_Loop.thisIndex,instr_Loop.ran,instructionImage,time,age,sex (female/male),order,date,expName,psychopyVersion,OS,frameRate,struc_judge_respond.keys,struc_judge_respond.corr,struc_judge_respond.rt,dual_respond.keys,dual_respond.corr,dual_respond.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim1,stim2,isAnyChange,corrAns,selectBlock.thisRepN,selectBlock.thisTrialN,selectBlock.thisN,selectBlock.thisIndex,selectBlock.ran,condsFile,condsImage,remaining,connected,dimensionality
0,0,0,0,1,Instructions/consent.png,3,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Instructions/instr_1.png,5,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,Instructions/instr_2.png,3,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,Instructions/instr_3.png,5,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,Instructions/instr_4.png,1,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,5,5,5,1,Instructions/instr_5.png,1,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,6,6,1,Instructions/instr_6.png,1,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,7,7,1,Instructions/instr_7.png,1,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,8,8,1,Instructions/instr_8.png,3,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,9,9,9,1,Instructions/instr_9.png,3,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,10,10,10,1,Instructions/instr_10.png,3,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,11,11,11,1,Instructions/instr_11.png,3,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,12,12,12,1,Instructions/instr_12.png,3,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,13,13,1,Instructions/instr_13.png,3,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,14,14,1,Instructions/instr_14.png,3,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,15,15,1,Instructions/instr_15.png,3,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,16,16,16,1,Instructions/instr_16.png,5,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1.03588,1,1,0.76873,0,0,0,5,1,Stimuli/practiceStimuliSquare/practice2_s.png,Stimuli/practiceStimuliSquare/practice2_s.png,0,9,,,,,,,,,,
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,0,0.885305,1,1,1.684185,0,1,1,0,1,Stimuli/practiceStimuliSquare/practice1_s.png,Stimuli/practiceStimuliSquare/practice1_s.png,0,9,,,,,,,,,,
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.87812,1,1,1.1683,0,2,2,4,1,Stimuli/practiceStimuliSquare/practice1_s.png,Stimuli/practiceStimuliSquare/practice1_d.png,1,1,,,,,,,,,,
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1.371245,9,1,0.651475,0,3,3,2,1,Stimuli/practiceStimuliSquare/practice3_s.png,Stimuli/practiceStimuliSquare/practice3_s.png,0,9,,,,,,,,,,
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.932465,9,0,1.41795,0,4,4,1,1,Stimuli/practiceStimuliSquare/practice2_s.png,Stimuli/practiceStimuliSquare/practice2_d.png,1,1,,,,,,,,,,
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1.11948,9,1,1.805505,0,5,5,7,1,Stimuli/practiceStimuliSquare/practice4_s.png,Stimuli/practiceStimuliSquare/practice4_s.png,0,9,,,,,,,,,,
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.777345,1,0,1.101475,0,6,6,3,1,Stimuli/practiceStimuliSquare/practice4_s.png,Stimuli/practiceStimuliSquare/practice4_d.png,1,1,,,,,,,,,,
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,0,0.85058,1,1,2.17397,0,7,7,6,1,Stimuli/practiceStimuliSquare/practice3_s.png,Stimuli/practiceStimuliSquare/practice3_d.png,1,1,,,,,,,,,,
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,0,0,0,0,1,Stimuli/practiceListSquares.xlsx,Instructions/instr_practice_A.png,Practice trials completed,,
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.65142,1,0,2.2679,0,0,0,3,1,Stimuli/testStimuliSquare/6u_s_2_2D.png,Stimuli/testStimuliSquare/6u_d_2_2D.png,1,1,,,,,,,,,c,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.9466,9,1,1.224285,0,1,1,15,1,Stimuli/testStimuliSquare/6u_s_2_s_2D.png,Stimuli/testStimuliSquare/6u_d_2_s_2D.png,1,1,,,,,,,,,s,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1.20927,1,1,0.850855,0,2,2,21,1,Stimuli/testStimuliSquare/6u_s_5_s_2D.png,Stimuli/testStimuliSquare/6u_d_5_s_2D.png,1,1,,,,,,,,,s,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.87075,1,1,1.951055,0,3,3,12,1,Stimuli/testStimuliSquare/6u_s_1_s_2D.png,Stimuli/testStimuliSquare/6u_s_1_s_2D.png,0,9,,,,,,,,,s,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.95287,1,1,0.81758,0,4,4,22,1,Stimuli/testStimuliSquare/6u_s_6_s_2D.png,Stimuli/testStimuliSquare/6u_s_6_s_2D.png,0,9,,,,,,,,,s,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,0,,9,0,1.152295,0,5,5,18,1,Stimuli/testStimuliSquare/6u_s_4_s_2D.png,Stimuli/testStimuliSquare/6u_s_4_s_2D.png,0,9,,,,,,,,,s,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.871685,1,1,0.96884,0,6,6,2,1,Stimuli/testStimuliSquare/6u_s_2_2D.png,Stimuli/testStimuliSquare/6u_s_2_2D.png,0,9,,,,,,,,,c,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.67096,9,1,0.667695,0,7,7,8,1,Stimuli/testStimuliSquare/6u_s_5_2D.png,Stimuli/testStimuliSquare/6u_s_5_2D.png,0,9,,,,,,,,,c,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.703915,9,1,0.73458,0,8,8,0,1,Stimuli/testStimuliSquare/6u_s_1_2D.png,Stimuli/testStimuliSquare/6u_s_1_2D.png,0,9,,,,,,,,,c,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.70536,1,1,0.870785,0,9,9,5,1,Stimuli/testStimuliSquare/6u_s_3_2D.png,Stimuli/testStimuliSquare/6u_d_3_2D.png,1,1,,,,,,,,,c,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1.320805,1,1,1.417215,0,10,10,1,1,Stimuli/testStimuliSquare/6u_s_1_2D.png,Stimuli/testStimuliSquare/6u_d_1_2D.png,1,1,,,,,,,,,c,2D
